"","name","label","concept"
"438","PCO008025","Total (501)!!Female!!65 to 69 years","GROUP QUARTERS POPULATION IN COLLEGE/UNIVERSITY STUDENT HOUSING BY SEX BY AGE"
"439","PCO009001","Total (601-602)","GROUP QUARTERS POPULATION IN MILITARY QUARTERS BY SEX BY AGE"
"440","PCO009002","Total (601-602)!!Male","GROUP QUARTERS POPULATION IN MILITARY QUARTERS BY SEX BY AGE"
"441","PCO009003","Total (601-602)!!Male!!15 to 19 years","GROUP QUARTERS POPULATION IN MILITARY QUARTERS BY SEX BY AGE"
"442","PCO009004","Total (601-602)!!Male!!20 to 24 years","GROUP QUARTERS POPULATION IN MILITARY QUARTERS BY SEX BY AGE"
"443","PCO009005","Total (601-602)!!Male!!25 to 29 years","GROUP QUARTERS POPULATION IN MILITARY QUARTERS BY SEX BY AGE"
"444","PCO009006","Total (601-602)!!Male!!30 to 34 years","GROUP QUARTERS POPULATION IN MILITARY QUARTERS BY SEX BY AGE"
"445","PCO009007","Total (601-602)!!Male!!35 to 39 years","GROUP QUARTERS POPULATION IN MILITARY QUARTERS BY SEX BY AGE"
"446","PCO009008","Total (601-602)!!Male!!40 to 44 years","GROUP QUARTERS POPULATION IN MILITARY QUARTERS BY SEX BY AGE"
"447","PCO009009","Total (601-602)!!Male!!45 to 49 years","GROUP QUARTERS POPULATION IN MILITARY QUARTERS BY SEX BY AGE"
"448","PCO009010","Total (601-602)!!Male!!50 to 54 years","GROUP QUARTERS POPULATION IN MILITARY QUARTERS BY SEX BY AGE"
"449","PCO009011","Total (601-602)!!Male!!55 to 59 years","GROUP QUARTERS POPULATION IN MILITARY QUARTERS BY SEX BY AGE"
"450","PCO009012","Total (601-602)!!Male!!60 to 64 years","GROUP QUARTERS POPULATION IN MILITARY QUARTERS BY SEX BY AGE"
"451","PCO009013","Total (601-602)!!Male!!65 to 69 years","GROUP QUARTERS POPULATION IN MILITARY QUARTERS BY SEX BY AGE"
"452","PCO009014","Total (601-602)!!Female","GROUP QUARTERS POPULATION IN MILITARY QUARTERS BY SEX BY AGE"
"453","PCO009015","Total (601-602)!!Female!!15 to 19 years","GROUP QUARTERS POPULATION IN MILITARY QUARTERS BY SEX BY AGE"
"454","PCO009016","Total (601-602)!!Female!!20 to 24 years","GROUP QUARTERS POPULATION IN MILITARY QUARTERS BY SEX BY AGE"
"455","PCO009017","Total (601-602)!!Female!!25 to 29 years","GROUP QUARTERS POPULATION IN MILITARY QUARTERS BY SEX BY AGE"
"456","PCO009018","Total (601-602)!!Female!!30 to 34 years","GROUP QUARTERS POPULATION IN MILITARY QUARTERS BY SEX BY AGE"
"457","PCO009019","Total (601-602)!!Female!!35 to 39 years","GROUP QUARTERS POPULATION IN MILITARY QUARTERS BY SEX BY AGE"
"458","PCO009020","Total (601-602)!!Female!!40 to 44 years","GROUP QUARTERS POPULATION IN MILITARY QUARTERS BY SEX BY AGE"
"459","PCO009021","Total (601-602)!!Female!!45 to 49 years","GROUP QUARTERS POPULATION IN MILITARY QUARTERS BY SEX BY AGE"
"460","PCO009022","Total (601-602)!!Female!!50 to 54 years","GROUP QUARTERS POPULATION IN MILITARY QUARTERS BY SEX BY AGE"
"461","PCO009023","Total (601-602)!!Female!!55 to 59 years","GROUP QUARTERS POPULATION IN MILITARY QUARTERS BY SEX BY AGE"
"462","PCO009024","Total (601-602)!!Female!!60 to 64 years","GROUP QUARTERS POPULATION IN MILITARY QUARTERS BY SEX BY AGE"
"463","PCO009025","Total (601-602)!!Female!!65 to 69 years","GROUP QUARTERS POPULATION IN MILITARY QUARTERS BY SEX BY AGE"
"464","PCO010001","Total (701-702, 704, 706, 801-802, 900-901, 903-904)","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"465","PCO010002","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Male","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"466","PCO010003","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Male!!Under 5 years","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"467","PCO010004","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Male!!5 to 9 years","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"468","PCO010005","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Male!!10 to 14 years","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"469","PCO010006","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Male!!15 to 19 years","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"470","PCO010007","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Male!!20 to 24 years","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"471","PCO010008","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Male!!25 to 29 years","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"472","PCO010009","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Male!!30 to 34 years","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"473","PCO010010","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Male!!35 to 39 years","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"474","PCO010011","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Male!!40 to 44 years","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"475","PCO010012","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Male!!45 to 49 years","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"476","PCO010013","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Male!!50 to 54 years","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"477","PCO010014","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Male!!55 to 59 years","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"478","PCO010015","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Male!!60 to 64 years","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"479","PCO010016","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Male!!65 to 69 years","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"480","PCO010017","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Male!!70 to 74 years","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"481","PCO010018","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Male!!75 to 79 years","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"482","PCO010019","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Male!!80 to 84 years","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"483","PCO010020","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Male!!85 years and over","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"484","PCO010021","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Female","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"485","PCO010022","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Female!!Under 5 years","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"486","PCO010023","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Female!!5 to 9 years","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"487","PCO010024","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Female!!10 to 14 years","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"488","PCO010025","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Female!!15 to 19 years","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"489","PCO010026","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Female!!20 to 24 years","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"490","PCO010027","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Female!!25 to 29 years","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"491","PCO010028","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Female!!30 to 34 years","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"492","PCO010029","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Female!!35 to 39 years","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"493","PCO010030","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Female!!40 to 44 years","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"494","PCO010031","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Female!!45 to 49 years","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"495","PCO010032","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Female!!50 to 54 years","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"496","PCO010033","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Female!!55 to 59 years","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"497","PCO010034","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Female!!60 to 64 years","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"498","PCO010035","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Female!!65 to 69 years","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"499","PCO010036","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Female!!70 to 74 years","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"500","PCO010037","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Female!!75 to 79 years","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"501","PCO010038","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Female!!80 to 84 years","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"502","PCO010039","Total (701-702, 704, 706, 801-802, 900-901, 903-904)!!Female!!85 years and over","GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE"
"503","PCT001001","Total","TOTAL POPULATION"
"504","PCT002001","Total","URBAN AND RURAL"
"505","PCT002002","Total!!Urban","URBAN AND RURAL"
"506","PCT002003","Total!!Urban!!Inside urbanized areas","URBAN AND RURAL"
"507","PCT002004","Total!!Urban!!Inside urban clusters","URBAN AND RURAL"
"508","PCT002005","Total!!Rural","URBAN AND RURAL"
"509","PCT002006","Total!!Not defined for this file","URBAN AND RURAL"
"510","PCT003001","Total","SEX BY AGE"
"511","PCT003002","Total!!Male","SEX BY AGE"
"512","PCT003003","Total!!Male!!Under 1 year","SEX BY AGE"
"513","PCT003004","Total!!Male!!1 year","SEX BY AGE"
"514","PCT003005","Total!!Male!!2 years","SEX BY AGE"
"515","PCT003006","Total!!Male!!3 years","SEX BY AGE"
"516","PCT003007","Total!!Male!!4 years","SEX BY AGE"
"517","PCT003008","Total!!Male!!5 years","SEX BY AGE"
"518","PCT003009","Total!!Male!!6 years","SEX BY AGE"
"519","PCT003010","Total!!Male!!7 years","SEX BY AGE"
"520","PCT003011","Total!!Male!!8 years","SEX BY AGE"
"521","PCT003012","Total!!Male!!9 years","SEX BY AGE"
"522","PCT003013","Total!!Male!!10 years","SEX BY AGE"
"523","PCT003014","Total!!Male!!11 years","SEX BY AGE"
"524","PCT003015","Total!!Male!!12 years","SEX BY AGE"
"525","PCT003016","Total!!Male!!13 years","SEX BY AGE"
"526","PCT003017","Total!!Male!!14 years","SEX BY AGE"
"527","PCT003018","Total!!Male!!15 years","SEX BY AGE"
"528","PCT003019","Total!!Male!!16 years","SEX BY AGE"
"529","PCT003020","Total!!Male!!17 years","SEX BY AGE"
"530","PCT003021","Total!!Male!!18 years","SEX BY AGE"
"531","PCT003022","Total!!Male!!19 years","SEX BY AGE"
"532","PCT003023","Total!!Male!!20 years","SEX BY AGE"
"533","PCT003024","Total!!Male!!21 years","SEX BY AGE"
"534","PCT003025","Total!!Male!!22 years","SEX BY AGE"
"535","PCT003026","Total!!Male!!23 years","SEX BY AGE"
"536","PCT003027","Total!!Male!!24 years","SEX BY AGE"
"537","PCT003028","Total!!Male!!25 years","SEX BY AGE"
"538","PCT003029","Total!!Male!!26 years","SEX BY AGE"
"539","PCT003030","Total!!Male!!27 years","SEX BY AGE"
"540","PCT003031","Total!!Male!!28 years","SEX BY AGE"
"541","PCT003032","Total!!Male!!29 years","SEX BY AGE"
"542","PCT003033","Total!!Male!!30 years","SEX BY AGE"
"543","PCT003034","Total!!Male!!31 years","SEX BY AGE"
"544","PCT003035","Total!!Male!!32 years","SEX BY AGE"
"545","PCT003036","Total!!Male!!33 years","SEX BY AGE"
"546","PCT003037","Total!!Male!!34 years","SEX BY AGE"
"547","PCT003038","Total!!Male!!35 years","SEX BY AGE"
"548","PCT003039","Total!!Male!!36 years","SEX BY AGE"
"549","PCT003040","Total!!Male!!37 years","SEX BY AGE"
"550","PCT003041","Total!!Male!!38 years","SEX BY AGE"
"551","PCT003042","Total!!Male!!39 years","SEX BY AGE"
"552","PCT003043","Total!!Male!!40 years","SEX BY AGE"
"553","PCT003044","Total!!Male!!41 years","SEX BY AGE"
"554","PCT003045","Total!!Male!!42 years","SEX BY AGE"
"555","PCT003046","Total!!Male!!43 years","SEX BY AGE"
"556","PCT003047","Total!!Male!!44 years","SEX BY AGE"
"557","PCT003048","Total!!Male!!45 years","SEX BY AGE"
"558","PCT003049","Total!!Male!!46 years","SEX BY AGE"
"559","PCT003050","Total!!Male!!47 years","SEX BY AGE"
"560","PCT003051","Total!!Male!!48 years","SEX BY AGE"
"561","PCT003052","Total!!Male!!49 years","SEX BY AGE"
"562","PCT003053","Total!!Male!!50 years","SEX BY AGE"
"563","PCT003054","Total!!Male!!51 years","SEX BY AGE"
"564","PCT003055","Total!!Male!!52 years","SEX BY AGE"
"565","PCT003056","Total!!Male!!53 years","SEX BY AGE"
"566","PCT003057","Total!!Male!!54 years","SEX BY AGE"
"567","PCT003058","Total!!Male!!55 years","SEX BY AGE"
"568","PCT003059","Total!!Male!!56 years","SEX BY AGE"
"569","PCT003060","Total!!Male!!57 years","SEX BY AGE"
"570","PCT003061","Total!!Male!!58 years","SEX BY AGE"
"571","PCT003062","Total!!Male!!59 years","SEX BY AGE"
"572","PCT003063","Total!!Male!!60 years","SEX BY AGE"
"573","PCT003064","Total!!Male!!61 years","SEX BY AGE"
"574","PCT003065","Total!!Male!!62 years","SEX BY AGE"
"575","PCT003066","Total!!Male!!63 years","SEX BY AGE"
"576","PCT003067","Total!!Male!!64 years","SEX BY AGE"
"577","PCT003068","Total!!Male!!65 years","SEX BY AGE"
"578","PCT003069","Total!!Male!!66 years","SEX BY AGE"
"579","PCT003070","Total!!Male!!67 years","SEX BY AGE"
"580","PCT003071","Total!!Male!!68 years","SEX BY AGE"
"581","PCT003072","Total!!Male!!69 years","SEX BY AGE"
"582","PCT003073","Total!!Male!!70 years","SEX BY AGE"
"583","PCT003074","Total!!Male!!71 years","SEX BY AGE"
"584","PCT003075","Total!!Male!!72 years","SEX BY AGE"
"585","PCT003076","Total!!Male!!73 years","SEX BY AGE"
"586","PCT003077","Total!!Male!!74 years","SEX BY AGE"
"587","PCT003078","Total!!Male!!75 years","SEX BY AGE"
"588","PCT003079","Total!!Male!!76 years","SEX BY AGE"
"589","PCT003080","Total!!Male!!77 years","SEX BY AGE"
"590","PCT003081","Total!!Male!!78 years","SEX BY AGE"
"591","PCT003082","Total!!Male!!79 years","SEX BY AGE"
"592","PCT003083","Total!!Male!!80 years","SEX BY AGE"
"593","PCT003084","Total!!Male!!81 years","SEX BY AGE"
"594","PCT003085","Total!!Male!!82 years","SEX BY AGE"
"595","PCT003086","Total!!Male!!83 years","SEX BY AGE"
"596","PCT003087","Total!!Male!!84 years","SEX BY AGE"
"597","PCT003088","Total!!Male!!85 years","SEX BY AGE"
"598","PCT003089","Total!!Male!!86 years","SEX BY AGE"
"599","PCT003090","Total!!Male!!87 years","SEX BY AGE"
"600","PCT003091","Total!!Male!!88 years","SEX BY AGE"
"601","PCT003092","Total!!Male!!89 years","SEX BY AGE"
"602","PCT003093","Total!!Male!!90 years","SEX BY AGE"
"603","PCT003094","Total!!Male!!91 years","SEX BY AGE"
"604","PCT003095","Total!!Male!!92 years","SEX BY AGE"
"605","PCT003096","Total!!Male!!93 years","SEX BY AGE"
"606","PCT003097","Total!!Male!!94 years","SEX BY AGE"
"607","PCT003098","Total!!Male!!95 years","SEX BY AGE"
"608","PCT003099","Total!!Male!!96 years","SEX BY AGE"
"609","PCT003100","Total!!Male!!97 years","SEX BY AGE"
"610","PCT003101","Total!!Male!!98 years","SEX BY AGE"
"611","PCT003102","Total!!Male!!99 years","SEX BY AGE"
"612","PCT003103","Total!!Male!!100 to 104 years","SEX BY AGE"
"613","PCT003104","Total!!Male!!105 to 109 years","SEX BY AGE"
"614","PCT003105","Total!!Male!!110 years and over","SEX BY AGE"
"615","PCT003106","Total!!Female","SEX BY AGE"
"616","PCT003107","Total!!Female!!Under 1 year","SEX BY AGE"
"617","PCT003108","Total!!Female!!1 year","SEX BY AGE"
"618","PCT003109","Total!!Female!!2 years","SEX BY AGE"
"619","PCT003110","Total!!Female!!3 years","SEX BY AGE"
"620","PCT003111","Total!!Female!!4 years","SEX BY AGE"
"621","PCT003112","Total!!Female!!5 years","SEX BY AGE"
"622","PCT003113","Total!!Female!!6 years","SEX BY AGE"
"623","PCT003114","Total!!Female!!7 years","SEX BY AGE"
"624","PCT003115","Total!!Female!!8 years","SEX BY AGE"
"625","PCT003116","Total!!Female!!9 years","SEX BY AGE"
"626","PCT003117","Total!!Female!!10 years","SEX BY AGE"
"627","PCT003118","Total!!Female!!11 years","SEX BY AGE"
"628","PCT003119","Total!!Female!!12 years","SEX BY AGE"
"629","PCT003120","Total!!Female!!13 years","SEX BY AGE"
"630","PCT003121","Total!!Female!!14 years","SEX BY AGE"
"631","PCT003122","Total!!Female!!15 years","SEX BY AGE"
"632","PCT003123","Total!!Female!!16 years","SEX BY AGE"
"633","PCT003124","Total!!Female!!17 years","SEX BY AGE"
"634","PCT003125","Total!!Female!!18 years","SEX BY AGE"
"635","PCT003126","Total!!Female!!19 years","SEX BY AGE"
"636","PCT003127","Total!!Female!!20 years","SEX BY AGE"
"637","PCT003128","Total!!Female!!21 years","SEX BY AGE"
"638","PCT003129","Total!!Female!!22 years","SEX BY AGE"
"639","PCT003130","Total!!Female!!23 years","SEX BY AGE"
"640","PCT003131","Total!!Female!!24 years","SEX BY AGE"
"641","PCT003132","Total!!Female!!25 years","SEX BY AGE"
"642","PCT003133","Total!!Female!!26 years","SEX BY AGE"
"643","PCT003134","Total!!Female!!27 years","SEX BY AGE"
"644","PCT003135","Total!!Female!!28 years","SEX BY AGE"
"645","PCT003136","Total!!Female!!29 years","SEX BY AGE"
"646","PCT003137","Total!!Female!!30 years","SEX BY AGE"
"647","PCT003138","Total!!Female!!31 years","SEX BY AGE"
"648","PCT003139","Total!!Female!!32 years","SEX BY AGE"
"649","PCT003140","Total!!Female!!33 years","SEX BY AGE"
"650","PCT003141","Total!!Female!!34 years","SEX BY AGE"
"651","PCT003142","Total!!Female!!35 years","SEX BY AGE"
"652","PCT003143","Total!!Female!!36 years","SEX BY AGE"
"653","PCT003144","Total!!Female!!37 years","SEX BY AGE"
"654","PCT003145","Total!!Female!!38 years","SEX BY AGE"
"655","PCT003146","Total!!Female!!39 years","SEX BY AGE"
"656","PCT003147","Total!!Female!!40 years","SEX BY AGE"
"657","PCT003148","Total!!Female!!41 years","SEX BY AGE"
"658","PCT003149","Total!!Female!!42 years","SEX BY AGE"
"659","PCT003150","Total!!Female!!43 years","SEX BY AGE"
"660","PCT003151","Total!!Female!!44 years","SEX BY AGE"
"661","PCT003152","Total!!Female!!45 years","SEX BY AGE"
"662","PCT003153","Total!!Female!!46 years","SEX BY AGE"
"663","PCT003154","Total!!Female!!47 years","SEX BY AGE"
"664","PCT003155","Total!!Female!!48 years","SEX BY AGE"
"665","PCT003156","Total!!Female!!49 years","SEX BY AGE"
"666","PCT003157","Total!!Female!!50 years","SEX BY AGE"
"667","PCT003158","Total!!Female!!51 years","SEX BY AGE"
"668","PCT003159","Total!!Female!!52 years","SEX BY AGE"
"669","PCT003160","Total!!Female!!53 years","SEX BY AGE"
"670","PCT003161","Total!!Female!!54 years","SEX BY AGE"
"671","PCT003162","Total!!Female!!55 years","SEX BY AGE"
"672","PCT003163","Total!!Female!!56 years","SEX BY AGE"
"673","PCT003164","Total!!Female!!57 years","SEX BY AGE"
"674","PCT003165","Total!!Female!!58 years","SEX BY AGE"
"675","PCT003166","Total!!Female!!59 years","SEX BY AGE"
"676","PCT003167","Total!!Female!!60 years","SEX BY AGE"
"677","PCT003168","Total!!Female!!61 years","SEX BY AGE"
"678","PCT003169","Total!!Female!!62 years","SEX BY AGE"
"679","PCT003170","Total!!Female!!63 years","SEX BY AGE"
"680","PCT003171","Total!!Female!!64 years","SEX BY AGE"
"681","PCT003172","Total!!Female!!65 years","SEX BY AGE"
"682","PCT003173","Total!!Female!!66 years","SEX BY AGE"
"683","PCT003174","Total!!Female!!67 years","SEX BY AGE"
"684","PCT003175","Total!!Female!!68 years","SEX BY AGE"
"685","PCT003176","Total!!Female!!69 years","SEX BY AGE"
"686","PCT003177","Total!!Female!!70 years","SEX BY AGE"
"687","PCT003178","Total!!Female!!71 years","SEX BY AGE"
"688","PCT003179","Total!!Female!!72 years","SEX BY AGE"
"689","PCT003180","Total!!Female!!73 years","SEX BY AGE"
"690","PCT003181","Total!!Female!!74 years","SEX BY AGE"
"691","PCT003182","Total!!Female!!75 years","SEX BY AGE"
"692","PCT003183","Total!!Female!!76 years","SEX BY AGE"
"693","PCT003184","Total!!Female!!77 years","SEX BY AGE"
"694","PCT003185","Total!!Female!!78 years","SEX BY AGE"
"695","PCT003186","Total!!Female!!79 years","SEX BY AGE"
"696","PCT003187","Total!!Female!!80 years","SEX BY AGE"
"697","PCT003188","Total!!Female!!81 years","SEX BY AGE"
"698","PCT003189","Total!!Female!!82 years","SEX BY AGE"
"699","PCT003190","Total!!Female!!83 years","SEX BY AGE"
"700","PCT003191","Total!!Female!!84 years","SEX BY AGE"
"701","PCT003192","Total!!Female!!85 years","SEX BY AGE"
"702","PCT003193","Total!!Female!!86 years","SEX BY AGE"
"703","PCT003194","Total!!Female!!87 years","SEX BY AGE"
"704","PCT003195","Total!!Female!!88 years","SEX BY AGE"
"705","PCT003196","Total!!Female!!89 years","SEX BY AGE"
"706","PCT003197","Total!!Female!!90 years","SEX BY AGE"
"707","PCT003198","Total!!Female!!91 years","SEX BY AGE"
"708","PCT003199","Total!!Female!!92 years","SEX BY AGE"
"709","PCT003200","Total!!Female!!93 years","SEX BY AGE"
"710","PCT003201","Total!!Female!!94 years","SEX BY AGE"
"711","PCT003202","Total!!Female!!95 years","SEX BY AGE"
"712","PCT003203","Total!!Female!!96 years","SEX BY AGE"
"713","PCT003204","Total!!Female!!97 years","SEX BY AGE"
"714","PCT003205","Total!!Female!!98 years","SEX BY AGE"
"715","PCT003206","Total!!Female!!99 years","SEX BY AGE"
"716","PCT003207","Total!!Female!!100 to 104 years","SEX BY AGE"
"717","PCT003208","Total!!Female!!105 to 109 years","SEX BY AGE"
"718","PCT003209","Total!!Female!!110 years and over","SEX BY AGE"
"719","PCT004001","Median age!!Both sexes","MEDIAN AGE BY SEX"
"720","PCT004002","Median age!!Male","MEDIAN AGE BY SEX"
"721","PCT004003","Median age!!Female","MEDIAN AGE BY SEX"
"722","PCT005001","Total","SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS"
"723","PCT005002","Total!!Male","SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS"
"724","PCT005003","Total!!Male!!Under 5 years","SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS"
"725","PCT005004","Total!!Male!!5 to 9 years","SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS"
"726","PCT005005","Total!!Male!!10 to 14 years","SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS"
"727","PCT005006","Total!!Male!!15 to 17 years","SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS"
"728","PCT005007","Total!!Male!!18 and 19 years","SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS"
"729","PCT005008","Total!!Male!!20 years","SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS"
"730","PCT005009","Total!!Male!!21 years","SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS"
"731","PCT005010","Total!!Male!!22 to 24 years","SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS"
"732","PCT005011","Total!!Male!!25 to 29 years","SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS"
"733","PCT005012","Total!!Male!!30 to 34 years","SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS"
"734","PCT005013","Total!!Male!!35 to 39 years","SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS"
"735","PCT005014","Total!!Male!!40 to 44 years","SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS"
"736","PCT005015","Total!!Male!!45 to 49 years","SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS"
"737","PCT005016","Total!!Male!!50 to 54 years","SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS"
"738","PCT005017","Total!!Male!!55 to 59 years","SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS"
"739","PCT005018","Total!!Male!!60 and 61 years","SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS"
"740","PCT005019","Total!!Male!!62 to 64 years","SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS"
"741","PCT005020","Total!!Male!!65 and 66 years","SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS"
"742","PCT005021","Total!!Male!!67 to 69 years","SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS"
"743","PCT005022","Total!!Male!!70 to 74 years","SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS"
"744","PCT005023","Total!!Male!!75 to 79 years","SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS"
"745","PCT005024","Total!!Male!!80 to 84 years","SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS"
"746","PCT005025","Total!!Male!!85 years and over","SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS"
"747","PCT005026","Total!!Female","SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS"
